32.187C	     2018-07-31 21:52:48.944898
32.187C	     2018-07-31 21:52:59.824916
32.187C	     2018-07-31 21:53:10.704917
32.187C	     2018-07-31 21:53:21.584880
32.187C	     2018-07-31 21:53:32.464879
32.187C	     2018-07-31 21:53:43.344884
32.187C	     2018-07-31 21:53:54.224875
32.187C	     2018-07-31 21:54:05.105222
32.187C	     2018-07-31 21:54:15.984887
32.125C	     2018-07-31 21:54:26.864909
32.187C	     2018-07-31 21:54:37.744908
32.187C	     2018-07-31 21:54:48.624890
32.187C	     2018-07-31 21:54:59.504911
32.187C	     2018-07-31 21:55:10.384886
32.187C	     2018-07-31 21:55:21.264870
32.187C	     2018-07-31 21:55:32.144903
32.187C	     2018-07-31 21:55:43.024890
32.125C	     2018-07-31 21:55:53.904900
32.187C	     2018-07-31 21:56:04.784903
32.187C	     2018-07-31 21:56:15.664895
32.187C	     2018-07-31 21:56:26.544931
32.187C	     2018-07-31 21:56:37.424916
32.125C	     2018-07-31 21:56:48.304937
32.187C	     2018-07-31 21:56:59.184910
32.187C	     2018-07-31 21:57:10.064899
32.125C	     2018-07-31 21:57:20.944914
32.125C	     2018-07-31 21:57:31.824908
32.125C	     2018-07-31 21:57:42.704906
32.125C	     2018-07-31 21:57:53.584892
32.125C	     2018-07-31 21:58:04.464862
32.125C	     2018-07-31 21:58:15.344916
32.125C	     2018-07-31 21:58:26.224939
32.125C	     2018-07-31 21:58:37.104950
32.125C	     2018-07-31 21:58:47.984901
32.125C	     2018-07-31 21:58:58.864878
32.125C	     2018-07-31 21:59:09.744879
32.125C	     2018-07-31 21:59:20.624915
32.125C	     2018-07-31 21:59:31.504918
32.125C	     2018-07-31 21:59:42.384898
32.125C	     2018-07-31 21:59:53.264928
32.125C	     2018-07-31 22:00:04.144929
32.125C	     2018-07-31 22:00:15.024897
32.125C	     2018-07-31 22:00:25.904911
32.125C	     2018-07-31 22:00:36.784891
32.125C	     2018-07-31 22:00:47.664900
32.125C	     2018-07-31 22:00:58.544899
32.125C	     2018-07-31 22:01:09.424914
32.125C	     2018-07-31 22:01:20.305248
32.125C	     2018-07-31 22:01:31.184897
32.125C	     2018-07-31 22:01:42.064905
32.125C	     2018-07-31 22:01:52.944904
32.125C	     2018-07-31 22:02:03.824906
32.125C	     2018-07-31 22:02:14.705021
32.125C	     2018-07-31 22:02:25.584961
32.187C	     2018-07-31 22:02:36.464862
32.187C	     2018-07-31 22:02:47.344895
32.187C	     2018-07-31 22:02:58.224904
32.187C	     2018-07-31 22:03:09.105178
32.187C	     2018-07-31 22:03:19.984897
32.187C	     2018-07-31 22:03:30.864906
32.187C	     2018-07-31 22:03:41.744917
32.187C	     2018-07-31 22:03:52.624898
32.187C	     2018-07-31 22:04:03.505203
32.187C	     2018-07-31 22:04:14.384880
32.187C	     2018-07-31 22:04:25.264916
32.187C	     2018-07-31 22:04:36.144938
32.187C	     2018-07-31 22:04:47.024895
32.187C	     2018-07-31 22:04:57.905244
32.187C	     2018-07-31 22:05:08.784905
32.187C	     2018-07-31 22:05:19.664892
32.187C	     2018-07-31 22:05:30.544910
32.187C	     2018-07-31 22:05:41.424947
32.187C	     2018-07-31 22:05:52.305231
32.187C	     2018-07-31 22:06:03.184871
32.187C	     2018-07-31 22:06:14.064881
32.187C	     2018-07-31 22:06:24.944897
32.187C	     2018-07-31 22:06:35.824920
32.187C	     2018-07-31 22:06:46.704883
32.187C	     2018-07-31 22:06:57.584935
32.187C	     2018-07-31 22:07:08.464924
32.187C	     2018-07-31 22:07:19.344906
32.187C	     2018-07-31 22:07:30.224928
32.187C	     2018-07-31 22:07:41.105226
32.187C	     2018-07-31 22:07:51.984898
32.187C	     2018-07-31 22:08:02.864899
32.187C	     2018-07-31 22:08:13.744894
32.187C	     2018-07-31 22:08:24.624877
32.187C	     2018-07-31 22:08:35.504909
32.187C	     2018-07-31 22:08:46.384904
32.187C	     2018-07-31 22:08:57.264902
32.187C	     2018-07-31 22:09:08.144903
32.187C	     2018-07-31 22:09:19.024910
32.187C	     2018-07-31 22:09:29.904881
32.187C	     2018-07-31 22:09:40.784897
32.187C	     2018-07-31 22:09:51.664895
32.187C	     2018-07-31 22:10:02.544885
32.187C	     2018-07-31 22:10:13.424938
32.187C	     2018-07-31 22:10:24.305192
32.187C	     2018-07-31 22:10:35.184885
32.187C	     2018-07-31 22:10:46.064936
32.187C	     2018-07-31 22:10:56.944897
32.187C	     2018-07-31 22:11:07.824893
32.187C	     2018-07-31 22:11:18.704978
32.187C	     2018-07-31 22:11:29.584916
32.187C	     2018-07-31 22:11:40.464950
32.187C	     2018-07-31 22:11:51.344935
32.125C	     2018-07-31 22:12:02.224922
32.187C	     2018-07-31 22:12:13.105281
32.187C	     2018-07-31 22:12:23.984939
32.187C	     2018-07-31 22:12:34.864933
32.187C	     2018-07-31 22:12:45.744937
32.187C	     2018-07-31 22:12:56.624951
32.187C	     2018-07-31 22:13:07.505315
32.187C	     2018-07-31 22:13:18.384903
32.187C	     2018-07-31 22:13:29.264913
32.187C	     2018-07-31 22:13:40.144901
32.187C	     2018-07-31 22:13:51.024911
32.187C	     2018-07-31 22:14:01.904904
